MemberInternalID,BranchID,Recency,Frequency,Monetary,RScore,FScore,MScore,RFMScore,RCategory,FCategory,MCategory,Segmentation,AOV,Branch_Name,Age,isCheating
28,2,317,23,2515000.0,33,31.428571428571427,33.91087440167195,32.77981527674779,Low,High,High,Can't Lose Them,109347.82608695651,Intro,30.0,0
29,10,1670,22,1412000.0,33,30.0,19.038630081574865,27.34621002719162,Low,High,High,Can't Lose Them,64181.81818181818,Bukit Darmo Golf,46.0,0
31,5,829,44,3885000.0,33,61.42857142857143,52.38319962246343,48.937257017011625,Low,High,High,Can't Lose Them,88295.45454545454,Klampis,34.0,0
31,3,2410,1,25000.0,33,0.0,0.3370862266567788,11.11236207555226,Low,Low,Low,Lost,25000.0,Graha Family,34.0,1
32,3,97,53,4185000.0,67,74.28571428571429,56.42823434234477,65.90464954268636,Medium,High,High,At Risk,78962.2641509434,Graha Family,68.0,0
34,3,1768,16,1847500.0,33,21.428571428571427,24.91067214993595,26.446414526169125,Low,High,High,Can't Lose Them,115468.75,Graha Family,6.0,0
35,3,884,16,1305000.0,33,21.428571428571427,17.595901031483855,24.008157486685093,Low,High,High,Can't Lose Them,81562.5,Graha Family,49.0,0
37,10,2410,2,77000.0,33,1.4285714285714286,1.0382255781028786,11.822265668891438,Low,Medium,Low,Hibernating,38500.0,Bukit Darmo Golf,6.0,0
38,2,1579,1,100000.0,33,0.0,1.3483449066271151,11.449448302209037,Low,Low,Low,Lost,100000.0,Intro,31.0,1
39,10,691,9,590000.0,33,11.428571428571429,7.955234949099981,17.46126879255714,Low,Medium,Medium,Hibernating,65555.55555555556,Bukit Darmo Golf,6.0,0
40,2,1804,14,1340000.0,33,18.571428571428573,18.067821748803343,23.213083440077305,Low,High,High,Can't Lose Them,95714.28571428572,Intro,29.0,0
41,10,2332,4,197500.0,33,4.285714285714286,2.6629811905885528,13.31623182543428,Low,Medium,Medium,Hibernating,49375.0,Bukit Darmo Golf,39.0,0
42,2,553,9,730000.0,33,11.428571428571429,9.84291781837794,18.090496415649792,Low,Medium,Medium,Hibernating,81111.11111111111,Intro,6.0,0
